timestamp,date,time,in_transit_node0,real_station_total,fleet_total,fleet_error
2017-07-01 00:00:00,2017-07-01,00:00,102,5208,5310,0
2017-07-01 00:10:00,2017-07-01,00:10,84,5226,5310,0
2017-07-01 00:20:00,2017-07-01,00:20,77,5233,5310,0
2017-07-01 00:30:00,2017-07-01,00:30,71,5239,5310,0
2017-07-01 00:40:00,2017-07-01,00:40,60,5250,5310,0
2017-07-01 00:50:00,2017-07-01,00:50,59,5251,5310,0
2017-07-01 01:00:00,2017-07-01,01:00,44,5266,5310,0
2017-07-01 01:10:00,2017-07-01,01:10,38,5272,5310,0
2017-07-01 01:20:00,2017-07-01,01:20,43,5267,5310,0
2017-07-01 01:30:00,2017-07-01,01:30,43,5267,5310,0
2017-07-01 01:40:00,2017-07-01,01:40,54,5256,5310,0
2017-07-01 01:50:00,2017-07-01,01:50,55,5255,5310,0
2017-07-01 02:00:00,2017-07-01,02:00,45,5265,5310,0
2017-07-01 02:10:00,2017-07-01,02:10,60,5250,5310,0
2017-07-01 02:20:00,2017-07-01,02:20,45,5265,5310,0
2017-07-01 02:30:00,2017-07-01,02:30,39,5271,5310,0
2017-07-01 02:40:00,2017-07-01,02:40,42,5268,5310,0
2017-07-01 02:50:00,2017-07-01,02:50,33,5277,5310,0
2017-07-01 03:00:00,2017-07-01,03:00,29,5281,5310,0
2017-07-01 03:10:00,2017-07-01,03:10,34,5276,5310,0
2017-07-01 03:20:00,2017-07-01,03:20,35,5275,5310,0
2017-07-01 03:30:00,2017-07-01,03:30,32,5278,5310,0
2017-07-01 03:40:00,2017-07-01,03:40,23,5287,5310,0
2017-07-01 03:50:00,2017-07-01,03:50,28,5282,5310,0
2017-07-01 04:00:00,2017-07-01,04:00,22,5288,5310,0
2017-07-01 04:10:00,2017-07-01,04:10,22,5288,5310,0
2017-07-01 04:20:00,2017-07-01,04:20,22,5288,5310,0
2017-07-01 04:30:00,2017-07-01,04:30,25,5285,5310,0
2017-07-01 04:40:00,2017-07-01,04:40,19,5291,5310,0
2017-07-01 04:50:00,2017-07-01,04:50,18,5292,5310,0
2017-07-01 05:00:00,2017-07-01,05:00,18,5292,5310,0
2017-07-01 05:10:00,2017-07-01,05:10,20,5290,5310,0
2017-07-01 05:20:00,2017-07-01,05:20,26,5284,5310,0
2017-07-01 05:30:00,2017-07-01,05:30,27,5283,5310,0
2017-07-01 05:40:00,2017-07-01,05:40,29,5281,5310,0
2017-07-01 05:50:00,2017-07-01,05:50,39,5271,5310,0
2017-07-01 06:00:00,2017-07-01,06:00,37,5273,5310,0
2017-07-01 06:10:00,2017-07-01,06:10,42,5268,5310,0
2017-07-01 06:20:00,2017-07-01,06:20,39,5271,5310,0
2017-07-01 06:30:00,2017-07-01,06:30,38,5272,5310,0
2017-07-01 06:40:00,2017-07-01,06:40,57,5253,5310,0
2017-07-01 06:50:00,2017-07-01,06:50,56,5254,5310,0
2017-07-01 07:00:00,2017-07-01,07:00,58,5252,5310,0
2017-07-01 07:10:00,2017-07-01,07:10,56,5254,5310,0
2017-07-01 07:20:00,2017-07-01,07:20,54,5256,5310,0
2017-07-01 07:30:00,2017-07-01,07:30,55,5255,5310,0
2017-07-01 07:40:00,2017-07-01,07:40,57,5253,5310,0
2017-07-01 07:50:00,2017-07-01,07:50,82,5228,5310,0
2017-07-01 08:00:00,2017-07-01,08:00,82,5228,5310,0
