date,in_transit_min,in_transit_mean,in_transit_median,in_transit_max,fleet_total_min,fleet_total_max
2017-07-01,18,326.65277777777777,248.0,868,5310,5310
2017-07-02,29,334.0,227.5,840,5310,5310
2017-07-03,21,311.4375,198.5,790,5310,5310
2017-07-04,19,349.81944444444446,409.5,783,5310,5310
2017-07-05,15,206.74305555555554,205.5,719,5310,5310
2017-07-06,5,206.29861111111111,210.5,723,5310,5310
2017-07-07,6,199.86111111111111,174.0,605,5310,5310
2017-07-08,12,340.90277777777777,254.0,828,5310,5310
2017-07-09,17,280.125,204.5,716,5310,5310
2017-07-10,7,135.43055555555554,116.0,536,5310,5310
2017-07-11,4,176.28472222222223,185.0,592,5310,5310
2017-07-12,2,113.375,69.0,501,5310,5310
2017-07-13,5,188.11805555555554,172.5,653,5310,5310
2017-07-14,11,212.875,187.0,606,5310,5310
2017-07-15,11,346.68055555555554,245.0,834,5310,5310
2017-07-16,25,251.05555555555554,194.5,631,5310,5310
2017-07-17,7,226.5625,213.0,775,5310,5310
2017-07-18,5,220.46527777777777,215.0,746,5310,5310
2017-07-19,4,201.80555555555554,195.5,683,5310,5310
2017-07-20,2,130.93055555555554,97.5,553,5310,5310
2017-07-21,3,161.5625,171.5,452,5310,5310
2017-07-22,11,262.84027777777777,193.0,675,5310,5310
2017-07-23,14,242.0625,165.0,654,5310,5310
2017-07-24,4,202.22916666666666,186.5,721,5310,5310
2017-07-25,3,213.10416666666666,211.5,742,5310,5310
2017-07-26,8,201.30555555555554,194.5,657,5310,5310
2017-07-27,10,192.50694444444446,174.5,644,5310,5310
2017-07-28,11,228.22222222222223,210.0,642,5310,5310
2017-07-29,10,329.36805555555554,204.5,816,5310,5310
2017-07-30,10,279.9375,174.0,750,5310,5310
2017-07-31,12,219.4375,221.0,732,5310,5310
2017-08-01,42,42.0,42.0,42,5310,5310
