timestamp,date,time,in_transit_node0,real_station_total,fleet_total,fleet_error
2017-07-01 15:00:00,2017-07-01,15:00,868,4442,5310,0
2017-07-02 16:10:00,2017-07-02,16:10,840,4470,5310,0
2017-07-15 14:10:00,2017-07-15,14:10,834,4476,5310,0
2017-07-15 13:30:00,2017-07-15,13:30,831,4479,5310,0
2017-07-15 13:40:00,2017-07-15,13:40,830,4480,5310,0
2017-07-02 15:40:00,2017-07-02,15:40,830,4480,5310,0
2017-07-01 14:50:00,2017-07-01,14:50,830,4480,5310,0
2017-07-02 15:20:00,2017-07-02,15:20,829,4481,5310,0
2017-07-08 14:20:00,2017-07-08,14:20,828,4482,5310,0
2017-07-08 14:10:00,2017-07-08,14:10,828,4482,5310,0
2017-07-15 14:50:00,2017-07-15,14:50,826,4484,5310,0
2017-07-02 13:50:00,2017-07-02,13:50,825,4485,5310,0
2017-07-01 14:00:00,2017-07-01,14:00,820,4490,5310,0
2017-07-02 15:30:00,2017-07-02,15:30,819,4491,5310,0
2017-07-01 13:40:00,2017-07-01,13:40,817,4493,5310,0
2017-07-29 16:40:00,2017-07-29,16:40,816,4494,5310,0
2017-07-15 13:20:00,2017-07-15,13:20,815,4495,5310,0
2017-07-02 13:40:00,2017-07-02,13:40,813,4497,5310,0
2017-07-02 13:20:00,2017-07-02,13:20,811,4499,5310,0
2017-07-02 14:00:00,2017-07-02,14:00,810,4500,5310,0
